OPE ID,School,State,SchoolType,Recipients,LoansOriginated,FundsOriginated,TotalDisbursements,FundsDisbursed
001538,UNIVERSITY OF TAMPA (THE),FL,Private-Nonprofit,4832,5064,40146979,5065,20031315
001531,STETSON UNIVERSITY,FL,Private-Nonprofit,3986,4147,39552129,4147,22291076
001468,SAINT THOMAS UNIVERSITY,FL,Private-Nonprofit,2309,2342,37218692,2361,16568815
001469,FLORIDA INSTITUTE OF TECHNOLOGY,FL,Private-Nonprofit,4539,4655,36092945,5446,18358484
006750,VALENCIA COLLEGE,FL,Public,8791,8872,35931624,8872,18009074
032553,FLORIDA GULF COAST UNIVERSITY,FL,Public,5876,5911,35776709,5911,17776211
009841,UNIVERSITY OF NORTH FLORIDA,FL,Public,5278,5473,33320681,5473,16875619
003955,UNIVERSITY OF WEST FLORIDA (THE),FL,Public,4905,4905,32633196,4905,17001504
001528,ST. PETERSBURG COLLEGE,FL,Public,6788,6915,30508149,6920,14666489
001495,JACKSONVILLE UNIVERSITY,FL,Private-Nonprofit,2936,2963,28259631,2963,13212211
001526,SAINT LEO UNIVERSITY,FL,Private-Nonprofit,3690,3735,27936090,3735,9667588
008849,PALM BEACH ATLANTIC UNIVERSITY,FL,Private-Nonprofit,2802,2843,25331362,2843,12838712
035493,ULTIMATE MEDICAL ACADEMY,FL,Private-Nonprofit,8108,9913,24628311,11441,13410518
007870,HILLSBOROUGH COMMUNITY COLLEGE,FL,Public,5820,5820,24461574,5856,12315794
001488,FLORIDA SOUTHERN COLLEGE,FL,Private-Nonprofit,3008,3066,20247975,3066,10968662
001521,SOUTHEASTERN UNIVERSITY,FL,Private-Nonprofit,3112,3128,20127354,3128,8628230
001505,LYNN UNIVERSITY,FL,Private-Nonprofit,1764,1795,17791994,1797,8132259
001467,BETHUNE COOKMAN UNIVERSITY,FL,Private-Nonprofit,3186,3526,15558968,3526,7788835
012574,RINGLING COLLEGE OF ART AND DESIGN,FL,Private-Nonprofit,1637,1637,15487073,1637,7819671
001515,ROLLINS COLLEGE,FL,Private-Nonprofit,1827,1897,14501643,1897,7001726
001470,EASTERN FLORIDA STATE COLLEGE,FL,Public,3295,3307,13449872,3308,6749851
007893,FLAGLER COLLEGE,FL,Private-Nonprofit,2477,2581,12474054,2581,6504184
001540,WEBBER INTERNATIONAL UNIVERSITY,FL,Private-Nonprofit,2032,2094,10911218,2094,5436305
001519,SANTA FE COLLEGE,FL,Public,2585,2586,10835043,2600,4145742
023058,FLORIDA CAREER COLLEGE,FL,Proprietary,2217,2363,10459776,2441,5265219
001520,SEMINOLE STATE COLLEGE OF FLORIDA,FL,Public,2251,2418,9803428,2419,4904322
031155,ADVENTHEALTH UNIVERSITY,FL,Private-Nonprofit,769,776,9458437,776,3447039
001500,BROWARD COLLEGE,FL,Public,2138,2140,8135344,2140,4066822
036914,AVE MARIA SCHOOL OF LAW,FL,Private-Nonprofit,342,342,8084163,345,4161470
001477,FLORIDA SOUTHWESTERN STATE COLLEGE,FL,Public,2019,2046,7782166,2046,3891125
001533,TALLAHASSEE COMMUNITY COLLEGE,FL,Public,1887,1927,7387322,1929,2662997
001471,COLLEGE OF CENTRAL FLORIDA,FL,Public,1627,1627,6921760,1632,3427164
008848,WARNER UNIVERSITY,FL,Private-Nonprofit,1231,1262,6843653,1277,3270028
001475,DAYTONA STATE COLLEGE,FL,Public,1632,1678,6692979,1678,3348516
001574,GEORGIA STATE UNIVERSITY,GA,Public,29401,29933,166293708,29935,87506345
001598,UNIVERSITY OF GEORGIA,GA,Public,17225,17243,149369897,17243,73983872
001577,KENNESAW STATE UNIVERSITY,GA,Public,24134,26064,127455880,26065,65596233
001564,EMORY UNIVERSITY,GA,Private-Nonprofit,6920,7079,116516746,7079,60894779
001580,MERCER UNIVERSITY,GA,Private-Nonprofit,7488,7896,100377935,8035,47801578
001572,GEORGIA SOUTHERN UNIVERSITY,GA,Public,18353,19098,99287777,19098,50369842
021415,SAVANNAH COLLEGE OF ART AND DESIGN,GA,Private-Nonprofit,9397,9419,89047321,9434,33407607
001579,AUGUSTA UNIVERSITY,GA,Public,6320,6523,71618540,6523,35030680
020748,LIFE UNIVERSITY,GA,Private-Nonprofit,2885,2886,67237738,4482,37425822
001599,VALDOSTA STATE UNIVERSITY,GA,Public,10551,11015,65759038,11027,31232137
001569,GEORGIA INSTITUTE OF TECHNOLOGY,GA,Public,7338,7495,58255608,7495,33035669
001559,CLARK ATLANTA UNIVERSITY,GA,Private-Nonprofit,6251,6256,58183143,6707,29203232
001601,UNIVERSITY OF WEST GEORGIA,GA,Public,9571,9811,54144751,9811,27822496
001585,UNIVERSITY OF NORTH GEORGIA,GA,Public,6945,6979,32074975,6979,16939701
001561,COLUMBUS STATE UNIVERSITY,GA,Public,5384,5447,29017941,5472,15208175
013039,SOUTH UNIVERSITY,GA,Proprietary,2790,2813,28540171,3774,12963369
024821,MOREHOUSE SCHOOL OF MEDICINE,GA,Private-Nonprofit,851,875,27973391,875,13970242
008976,CLAYTON STATE UNIVERSITY,GA,Public,5013,5231,26876808,5231,13906107
001602,GEORGIA COLLEGE & STATE UNIVERSITY,GA,Public,4115,4480,26773192,4481,13547750
001544,ALBANY STATE UNIVERSITY,GA,Public,6021,6213,26713851,6217,13375207
001556,BRENAU UNIVERSITY,GA,Private-Nonprofit,2591,2591,26495455,2643,13275515
041429,GEORGIA GWINNETT COLLEGE,GA,Public,5522,5695,23073082,5695,11518717
001581,MIDDLE GEORGIA STATE UNIVERSITY,GA,Public,4675,4872,23017688,4874,11526714
001588,PIEDMONT COLLEGE,GA,Private-Nonprofit,2334,2334,22596047,2343,9135437
001582,MOREHOUSE COLLEGE,GA,Private-Nonprofit,2209,2282,22580458,2282,11213421
001566,FORT VALLEY STATE UNIVERSITY,GA,Public,4183,4185,22133186,4207,11135819
001594,SPELMAN COLLEGE,GA,Private-Nonprofit,2433,2438,21244843,2466,10747246
001590,SAVANNAH STATE UNIVERSITY,GA,Public,4162,4502,19947444,4510,9981478
001555,THOMAS UNIVERSITY,GA,Private-Nonprofit,1069,1072,11364626,1076,4447163
031733,ATLANTA'S JOHN MARSHALL LAW SCHOOL,GA,Proprietary,469,476,11141221,476,5710710
001573,GEORGIA SOUTHWESTERN STATE UNIVERSITY,GA,Public,2085,2168,10784278,2168,5477284
001575,GORDON STATE COLLEGE,GA,Public,2065,2134,8304703,2134,4150354
001541,ABRAHAM BALDWIN AGRICULTURAL COLLEGE,GA,Public,1932,2034,8281467,2034,4152136
001554,BERRY COLLEGE,GA,Private-Nonprofit,1323,1340,7441245,1340,3768932
001571,GEORGIA MILITARY COLLEGE,GA,Public,1892,1940,6715783,3302,3508961
001558,COLLEGE OF COASTAL GEORGIA,GA,Public,1489,1541,6705876,1541,3355482
001591,SHORTER UNIVERSITY,GA,Private-Nonprofit,1198,1241,6360528,1241,3223025
001578,LAGRANGE COLLEGE,GA,Private-Nonprofit,1072,1096,6263590,1098,3022025
001589,REINHARDT UNIVERSITY,GA,Private-Nonprofit,1123,1147,6038130,1147,3076074
005763,CENTRAL GEORGIA TECHNICAL COLLEGE,GA,Public,1533,1533,5420509,1543,1374092
009507,GEORGIA HIGHLANDS COLLEGE,GA,Public,1158,1171,5215541,1173,2601765
001604,YOUNG HARRIS COLLEGE,GA,Private-Nonprofit,1026,1027,4936515,1027,2484800
001596,TOCCOA FALLS COLLEGE,GA,Private-Nonprofit,1064,1087,4860380,1087,2240619
001542,AGNES SCOTT COLLEGE,GA,Private-Nonprofit,923,933,4744282,933,2332515
008543,ATLANTA TECHNICAL COLLEGE,GA,Public,1127,1133,4727193,2263,1582051
022884,GWINNETT TECHNICAL COLLEGE,GA,Public,2128,2134,4540871,2135,2279376
001610,UNIVERSITY OF HAWAII AT MANOA,HI,Public,7928,7938,73177360,8017,36729373
001611,UNIVERSITY OF HAWAII AT HILO,HI,Public,1807,1844,19381536,1844,9754023
007279,HAWAII PACIFIC UNIVERSITY,HI,Private-Nonprofit,1458,1460,10756352,1460,5471612
001605,CHAMINADE UNIVERSITY OF HONOLULU,HI,Private-Nonprofit,1039,1043,9809629,1241,4906600
021078,UNIVERSITY OF HAWAII - WEST OAHU,HI,Public,1007,1012,5310982,1012,2687535
001613,KAPIOLANI COMMUNITY COLLEGE,HI,Public,572,580,2519920,580,1275139
004549,LEEWARD COMMUNITY COLLEGE,HI,Public,185,186,808999,186,404505
041822,HAWAII MEDICAL COLLEGE,HI,Proprietary,192,192,748487,198,300278
001616,BOISE STATE UNIVERSITY,ID,Public,9908,10239,63693975,10239,32954669
001626,UNIVERSITY OF IDAHO,ID,Public,5628,5736,44377784,5932,22543507
001620,IDAHO STATE UNIVERSITY,ID,Public,5486,5496,39415383,5496,21272590
001625,BRIGHAM YOUNG UNIVERSITY - IDAHO,ID,Private-Nonprofit,5531,5556,22268709,5786,11813082
001624,NORTHWEST NAZARENE UNIVERSITY,ID,Private-Nonprofit,1498,1509,12676871,1551,5177084
001621,LEWIS-CLARK STATE COLLEGE,ID,Public,1862,1862,8630414,1878,4392455
042118,COLLEGE OF WESTERN IDAHO,ID,Public,2247,2248,8393943,2248,4193789
001623,NORTH IDAHO COLLEGE,ID,Public,901,901,3942947,902,1026663
001617,COLLEGE OF IDAHO (THE),ID,Private-Nonprofit,641,641,2864337,645,1430573
001657,MIDWESTERN UNIVERSITY,IL,Private-Nonprofit,4981,5654,208776684,5660,69572766
002477,A. T. STILL UNIVERSITY OF HEALTH SCIENCES,MO,Private-Nonprofit,3886,4084,150230560,4099,76137905
001776,UNIVERSITY OF ILLINOIS AT CHICAGO,IL,Public,15032,15515,203739808,15515,99732733
001775,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,IL,Public,22271,22811,186531642,22811,94912035
001739,NORTHWESTERN UNIVERSITY,IL,Private-Nonprofit,7653,8610,174172448,8715,71394866
001813,INDIANA UNIVERSITY - PURDUE UNIVERSITY INDIANAPOLIS,IN,Public,15285,17019,168705309,17019,85777950
006385,CHAMBERLAIN UNIVERSITY,IL,Proprietary,23950,24001,145925873,34854,60363446
001671,DEPAUL UNIVERSITY,IL,Private-Nonprofit,15402,15666,135709309,15682,56240902
001710,LOYOLA UNIVERSITY CHICAGO,IL,Private-Nonprofit,12135,12529,112705708,12529,57313559
010727,DEVRY UNIVERSITY,IL,Proprietary,23133,23476,102366943,39887,49598068
001659,ROSALIND FRANKLIN UNIVERSITY OF MEDICINE AND SCIENCE,IL,Private-Nonprofit,2847,2983,82115152,2983,27671310
001692,ILLINOIS STATE UNIVERSITY,IL,Public,14624,14994,79358784,14994,40559378
001774,UNIVERSITY OF CHICAGO (THE),IL,Private-Nonprofit,2511,2560,66997402,2564,22778572
001737,NORTHERN ILLINOIS UNIVERSITY,IL,Public,9827,10359,60522945,10386,31746909
001759,SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE,IL,Public,7568,7812,56501302,7812,30878208
001758,SOUTHERN ILLINOIS UNIVERSITY AT CARBONDALE,IL,Public,7397,7567,54997937,7567,29229754
